comment,sadness,anger,confident,analytical
 rise in popularity of the canon in d  minor rewording clarified stuff added some links,0.0,0.0,0.0,0.0
 rise in popularity of the canon in d  minor rewording clarified stuff added some links,0.0,0.0,0.0,0.532616
buttetsu has no basis in canon besides a fake name on an id. see talk page for batou,0.0,0.0,0.0,0.51064
correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]],0.0,0.0,0.0,0.882284
correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]],0.0,0.0,0.849827,0.0
there is no canon evidence for this and based on this contritutors entries he or she seems to be highly unreliable,0.0,0.0,0.0,0.0
 canon  linked neologism,0.0,0.0,0.0,0.955445
 ban on membership  adding citation for canon law ban,0.601332,0.0,0.0,0.0
 ban on membership  adding citation for canon law ban,0.0,0.0,0.660207,0.0
 ban on membership  adding citation for canon law ban,0.0,0.0,0.0,0.901894
crash had just defeated cortex and uka uka he did this crash bash. ctr is canon oxide appears in other games. woc does not follow warped thus ctr is the next game,0.0,0.645031,0.0,0.0
crash had just defeated cortex and uka uka he did this crash bash. ctr is canon oxide appears in other games. woc does not follow warped thus ctr is the next game,0.0,0.0,0.0,0.0
 roddenberry canon and personal canon  clarified - its less confusing this way old way made it sound like tas was conon for roddenberry,0.0,0.0,0.0,0.703409
 roddenberry canon and personal canon  clarified - its less confusing this way old way made it sound like tas was conon for roddenberry,0.0,0.0,0.0,0.0
correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]],0.0,0.0,0.0,0.882284
correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]],0.0,0.0,0.849827,0.0
it is a fact that its non canon. the plot holes lack of continuity not being created by toriyama and etc. all make it non-canon until toei or toriyama say otherwise.,0.0,0.0,0.0,0.887088
it is a fact that its non canon. the plot holes lack of continuity not being created by toriyama and etc. all make it non-canon until toei or toriyama say otherwise.,0.0,0.0,0.874814,0.0
correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]],0.0,0.0,0.849827,0.0
correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]],0.0,0.0,0.0,0.882284
sorry article is very long as it is. there is no need to say it is canon imho as if it leads directly from and directly into (to paraphrase the article) a canon reference is a redundancy. sorry.,0.0,0.0,0.937689,0.0
stacy never refered to as anastasia in any episodes or canon material.,0.0,0.0,0.0,0.0
stacy never refered to as anastasia in any episodes or canon material.,0.0,0.0,0.0,0.620279
 history in star wars canon ,0.0,0.0,0.0,0.687768
